ward code,ward name,local authority code,local authority name,All Households,deprived in: no dimensions,1 dimension,2 dimensions,3 dimensions,4 dimensions
E09000001,City of London (aggregated),E09000001,City of London,4909,2937,1547,343,75,7
E05014053,Abbey,E09000002,Barking and Dagenham,1460,604,568,221,62,5
E05014054,Alibon,E09000002,Barking and Dagenham,3344,1302,1246,612,173,11
E05014055,Barking Riverside,E09000002,Barking and Dagenham,3382,1591,1120,500,158,13
E05014056,Beam,E09000002,Barking and Dagenham,2705,1058,1026,488,125,8
E05014057,Becontree,E09000002,Barking and Dagenham,3065,1119,1092,618,226,10
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,4802,1761,1792,960,264,25
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,3060,1260,1109,523,164,4
E05014060,Eastbury,E09000002,Barking and Dagenham,5198,1771,1999,1053,357,18
E05014061,Gascoigne,E09000002,Barking and Dagenham,3802,1506,1419,648,213,16
E05014062,Goresbrook,E09000002,Barking and Dagenham,4715,1574,1813,978,336,14
E05014063,Heath,E09000002,Barking and Dagenham,3301,1236,1187,643,220,15
E05014064,Longbridge,E09000002,Barking and Dagenham,3760,1584,1328,677,160,11
E05014065,Mayesbrook,E09000002,Barking and Dagenham,5342,1919,2015,1065,329,14
E05014066,Northbury,E09000002,Barking and Dagenham,4398,1586,1705,823,262,22
E05014067,Parsloes,E09000002,Barking and Dagenham,5303,1755,1990,1164,362,32
E05014068,Thames View,E09000002,Barking and Dagenham,1852,661,684,385,107,15
E05014069,Valence,E09000002,Barking and Dagenham,5211,1788,1936,1095,364,28
E05014070,Village,E09000002,Barking and Dagenham,4567,1630,1719,920,276,22
E05014071,Whalebone,E09000002,Barking and Dagenham,4623,2086,1641,705,186,5
E05013628,Barnet Vale,E09000003,Barnet,7185,3778,2309,866,203,29
E05013629,Brunswick Park,E09000003,Barnet,5973,3077,1980,751,159,6
E05013630,Burnt Oak,E09000003,Barnet,7318,2514,2855,1441,475,33
E05013631,Childs Hill,E09000003,Barnet,7918,3901,2590,1013,330,84
E05013632,Colindale North,E09000003,Barnet,4591,1744,1673,841,296,37
E05013633,Colindale South,E09000003,Barnet,7419,3761,2370,949,297,42
E05013634,Cricklewood,E09000003,Barnet,3849,1520,1411,654,229,35
E05013635,East Barnet,E09000003,Barnet,6981,3597,2179,941,238,26
E05013636,East Finchley,E09000003,Barnet,6792,3323,2300,896,258,15
E05013637,Edgware,E09000003,Barnet,7111,3681,2328,923,153,26
E05013638,Edgwarebury,E09000003,Barnet,4095,1985,1405,545,152,8
E05013639,Finchley Church End,E09000003,Barnet,7564,4006,2427,864,227,40
E05013640,Friern Barnet,E09000003,Barnet,7508,3695,2458,1051,277,27
E05013641,Garden Suburb,E09000003,Barnet,5045,3225,1396,358,57,9
E05013642,Golders Green,E09000003,Barnet,5164,2393,1757,746,221,47
E05013643,Hendon,E09000003,Barnet,8277,3731,2897,1255,331,63
E05013644,High Barnet,E09000003,Barnet,4848,2644,1560,525,115,4
