ward code,ward name,local authority code,local authority name,All usual residents,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 14 years,Aged 15 to 19 years,Aged 20 to 24 years,Aged 25 to 29 years,Aged 30 to 34 years,Aged 35 to 39 years,Aged 40 to 44 years,Aged 45 to 49 years,Aged 50 to 54 years,Aged 55 to 59 years,Aged 60 to 64 years,Aged 65 to 69 years,Aged 70 to 74 years,Aged 75 to 79 years,Aged 80 to 84 years,Aged 85 years and over
E09000001,City of London,E09000001,City of London,8586,216,161,173,215,962,1213,1003,730,549,535,639,520,460,390,322,209,162,127
E05014053,Abbey,E09000002,Barking and Dagenham,3958,388,365,222,170,210,403,551,508,349,197,159,127,125,62,44,40,19,19
E05014054,Alibon,E09000002,Barking and Dagenham,9877,690,806,764,695,634,691,790,772,750,689,710,573,397,283,204,158,128,143
E05014055,Barking Riverside,E09000002,Barking and Dagenham,10063,1110,928,960,659,496,777,1114,941,870,678,595,343,248,115,103,58,35,33
E05014056,Beam,E09000002,Barking and Dagenham,8355,573,744,798,614,534,476,608,636,554,684,517,463,353,256,188,160,93,104
E05014057,Becontree,E09000002,Barking and Dagenham,9790,699,899,894,706,604,626,742,755,767,699,618,556,364,300,207,144,103,107
E05014058,Chadwell Heath,E09000002,Barking and Dagenham,13817,1078,1145,1118,946,772,907,1105,1103,986,885,804,733,573,432,379,318,281,252
E05014059,Eastbrook & Rush Green,E09000002,Barking and Dagenham,8743,528,643,599,534,530,628,693,648,582,537,590,534,482,320,308,202,185,200
E05014060,Eastbury,E09000002,Barking and Dagenham,15730,1199,1269,1290,1205,1031,1040,1222,1266,1290,1132,1066,773,623,436,345,207,196,140
E05014061,Gascoigne,E09000002,Barking and Dagenham,10716,1132,973,917,762,530,800,1053,1115,948,719,552,406,285,190,119,101,58,56
E05014062,Goresbrook,E09000002,Barking and Dagenham,13700,1002,1121,1190,929,782,893,980,1088,1040,930,992,732,604,442,405,227,168,175
E05014063,Heath,E09000002,Barking and Dagenham,9106,688,734,804,650,581,641,727,705,675,618,568,507,347,251,219,151,117,123
E05014064,Longbridge,E09000002,Barking and Dagenham,13305,841,1000,961,1002,1056,1057,995,1035,971,885,857,693,575,424,346,227,175,205
