,,Net additions to dwelling stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Code,Local authority,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011/12,2012/13,2013/14,2014/15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,108,9,137,111,-1,1,46,46,-8,54,18,35,437,226,77,7,138,351,297,206,432,,,,,,,,
E09000002,Barking and Dagenham,228,312,62,362,268,307,716,288,108,133,352,506,731,514,732,596,413,906,741,"1,048","1,206",,,,,,,,
E09000003,Barnet,286,"1,083",973,"1,047","1,039",488,"1,252","1,089",848,730,"2,115","1,374","1,113","1,324","1,458","1,799","2,208","2,209","1,990","2,250",206,,,,,,,,
E09000004,Bexley,302,316,727,271,213,313,333,293,428,239,203,418,528,810,-132,764,277,486,208,632,710,,,,,,,,
E09000005,Brent,"1,401","1,018",608,639,"1,674","1,202","1,067","1,207","1,170",669,560,662,734,"1,559","1,051","1,364",694,"1,741","2,433","2,404","3,574",,,,,,,,
E09000006,Bromley,257,340,494,831,747,952,773,560,625,738,576,692,149,411,700,858,554,708,485,272,120,,,,,,,,
E09000007,Camden,772,576,381,722,787,647,519,"1,040",582,689,368,564,454,439,965,"1,208",945,827,985,509,536,,,,,,,,
E09000008,Croydon,124,396,358,390,395,753,"1,183","1,256","1,098",850,707,891,"1,295","1,523","2,044","2,835","2,076","1,590","1,657","2,029","2,130",,,,,,,,
E09000009,Ealing,259,333,506,482,834,"1,368","1,420",850,521,286,685,990,769,897,721,845,"1,457","1,754","1,808","1,681","1,066",,,,,,,,
E09000010,Enfield,"1,183","1,143","1,064",718,558,"1,054","1,279",677,620,799,297,549,512,399,672,898,386,500,420,791,937,,,,,,,,
E09000011,Greenwich,566,774,"1,436","1,625","1,387",738,326,303,91,535,"1,323",114,"1,112","1,148","1,720","2,380","1,901","1,514","3,052",991,"1,257",,,,,,,,
E09000012,Hackney,"1,349","1,660","1,372","1,151","1,203","1,451","1,911","2,388","1,968",751,"1,157",800,"1,125","1,258",826,"1,196","1,267","1,522",646,969,"1,531",,,,,,,,
E09000013,Hammersmith and Fulham,192,321,589,468,648,654,541,484,907,488,471,420,626,"1,360",368,974,"1,531","1,046","1,149","1,421","2,300",,,,,,,,
E09000014,Haringey,683,822,572,"1,455","1,171","1,488","1,133","1,335","1,136",743,"1,283",577,474,133,239,741,"1,200",568,865,"1,432","1,511",,,,,,,,
E09000015,Harrow,229,561,529,651,658,709,463,860,599,530,470,715,295,410,910,656,700,"1,229","1,200",775,432,,,,,,,,
E09000016,Havering,402,358,629,544,464,940,419,737,516,379,42,237,156,642,"1,012",443,277,466,508,486,624,,,,,,,,
E09000017,Hillingdon,268,439,540,341,595,285,495,882,607,400,989,"1,467",554,545,709,764,842,957,"1,646",718,866,,,,,,,,
E09000018,Hounslow,711,912,"1,174",901,858,"1,741","1,992",868,924,999,580,232,686,397,480,557,911,"1,264","1,545","1,400","1,737",,,,,,,,
E09000019,Islington,"1,011","1,728","1,279",679,877,"1,830","1,728","2,329","1,593",571,"1,224",919,"1,243",498,"1,027",674,367,916,757,651,457,,,,,,,,
E09000020,Kensington and Chelsea,68,147,398,155,78,35,-53,-24,204,42,102,57,596,984,384,355,335,115,511,267,187,,,,,,,,
E09000021,Kingston upon Thames,147,248,537,514,331,298,266,160,115,112,224,203,261,526,239,273,217,501,613,479,307,,,,,,,,
E09000022,Lambeth,"1,065",558,806,"1,020","1,368","1,348","1,423","1,311","1,366","1,558",850,535,"1,254","1,411","1,347","1,135","1,543","1,219","1,517","1,198",378,,,,,,,,
E09000023,Lewisham,471,312,"1,062",787,"1,038",655,"1,084","1,207","1,064","1,012","1,188","1,798",713,"1,468","1,539","1,604",526,"1,628","1,251",181,435,,,,,,,,
E09000024,Merton,-187,-127,-143,-62,270,-7,149,366,-79,-52,510,413,440,425,508,434,648,273,346,604,517,,,,,,,,
E09000025,Newham,"1,219",881,"1,314",572,896,720,920,"1,069","1,459",768,909,670,"1,969","2,050","1,441","2,377","1,846","2,505","3,368","1,813","3,243",,,,,,,,
